00FR               20251118                                                                                   
0601FRA0N       20260101002285100000005000 0000000000002645   
0601FRA0N       20260101002290100000005000 0000000000002647   
0601FRA0N       20260101002295100000005000 0000000000002649   
0601FRA0N       20260101002300100000005000 0000000000002650   
0601FRA0N       20260101002305100000005000 0000000000002652   
0601FRA0N       20260101002310100000005000 0000000000002653   
0601FRA0N       20260101002315100000005000 0000000000002654   
0601FRA0N       20260101002320100000005000 0000000000002656   
0601FRA0N       20260101002325100000005000 0000000000002658   
0601FRA0N       20260101002330100000005000 0000000000002659   
0601FRA0N       20260101002335100000005000 0000000000002660   
0601FRA0N       20260101002340100000005000 0000000000002662   
0601FRA0N       20260101002345100000005000 0000000000002663   
0601FRA0N       20260101002350100000005000 0000000000002664   
0601FRA0N       20260101002355100000005000 0000000000002666   
0601FRA0N       20260101002360100000005000 0000000000002668   
0601FRA0N       20260101002365100000005000 0000000000002669   
0601FRA0N       20260101002370100000005000 0000000000002670   
0601FRA0N       20260101002375100000005000 0000000000002672   
0601FRA0N       20260101002380100000005000 0000000000002673   
0601FRA0N       20260101002385100000005000 0000000000002674   
0601FRA0N       20260101002390100000005000 0000000000002677   
0601FRA0N       20260101002395100000005000 0000000000002678   
0601FRA0N       20260101002400100000005000 0000000000002679   
0601FRA0N       20260101002405100000005000 0000000000002680   
0601FRA0N       20260101002410100000005000 0000000000002682   
0601FRA0N       20260101002415100000005000 0000000000002683   
0601FRA0N       20260101002420100000005000 0000000000002684   
0601FRA0N       20260101002425100000005000 0000000000002686   
0601FRA0N       20260101002430100000005000 0000000000002687   
0601FRA0N       20260101002435100000005000 0000000000002688   
0601FRA0N       20260101002440100000005000 0000000000002690   
0601FRA0N       20260101002445100000005000 0000000000002691   
0601FRA0N       20260101002450100000005000 0000000000002692   
0601FRA0N       20260101002455100000005000 0000000000002693   
0601FRA0N       20260101002460100000005000 0000000000002696   
0601FRA0N       20260101002465100000005000 0000000000002696   
0601FRA0N       20260101002470100000005000 0000000000002697   
0601FRA0N       20260101002475100000005000 0000000000002699   
0601FRA0N       20260101002480100000005000 0000000000002701   
0601FRA0N       20260101002485100000005000 0000000000002701   
0601FRA0N       20260101002490100000005000 0000000000002702   
0601FRA0N       20260101002495100000005000 0000000000002705   
0601FRA0N       20260101002500100000005000 0000000000002705   
0601FRA0N       20260101002505100000005000 0000000000002706   
0601FRA0N       20260101002510100000005000 0000000000002709   
0601FRA0N       20260101002515100000005000 0000000000002709   
0601FRA0N       20260101002520100000005000 0000000000002710   
0601FRA0N       20260101002525100000005000 0000000000002711   
0601FRA0N       20260101002530100000005000 0000000000002713   
0601FRA0N       20260101002535100000005000 0000000000002714   
0601FRA0N       20260101002540100000005000 0000000000002715   
0601FRA0N       20260101002545100000005000 0000000000002717   
0601FRA0N       20260101002550100000005000 0000000000002718   
0601FRA0N       20260101002555100000005000 0000000000002719   
0601FRA0N       20260101002560100000005000 0000000000002720   
0601FRA0N       20260101002565100000005000 0000000000002722   
0601FRA0N       20260101002570100000005000 0000000000002723   
0601FRA0N       20260101002575100000005000 0000000000002724   
0601FRA0N       20260101002580100000005000 0000000000002726   
0601FRA0N       20260101002585100000005000 0000000000002726   
0601FRA0N       20260101002590100000005000 0000000000002727   
0601FRA0N       20260101002595100000005000 0000000000002729   
